Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,23188.48,23272.10,23111.03,23221.52,1193749200,23221.52
2014-06-26,22947.84,23203.48,22926.04,23197.83,1292095000,23197.83
2014-06-25,22935.06,22938.70,22829.29,22866.70,1082659400,22866.70
2014-06-24,22915.92,22946.10,22832.91,22880.64,1448714900,22880.64
2014-06-23,23165.26,23393.81,22802.10,22804.81,2005521200,22804.81
2014-06-20,23199.18,23285.52,23157.86,23194.06,1341638400,23194.06
2014-06-19,23264.92,23300.31,23122.75,23167.73,1421184400,23167.73
2014-06-18,23128.22,23299.36,23128.22,23181.72,1296561500,23181.72
2014-06-17,23237.63,23242.69,23127.02,23203.59,1361614400,23203.59
2014-06-16,23299.04,23340.42,23232.56,23300.67,1215050700,23300.67
2014-06-13,23099.87,23397.77,23099.87,23319.17,1564423800,23319.17
2014-06-12,23127.82,23237.76,23065.50,23175.02,1262629700,23175.02
2014-06-11,23281.14,23281.14,23168.14,23257.29,1312200700,23257.29
2014-06-10,23206.20,23360.25,23061.25,23315.74,1732688200,23315.74
2014-06-09,23086.94,23159.60,23053.38,23117.47,1175572600,23117.47
2014-06-06,23231.32,23231.32,22950.67,22951.00,1793942400,22951.00
2014-06-05,23142.66,23178.08,23052.43,23109.66,1139879400,23109.66
2014-06-04,23284.17,23284.17,23110.85,23151.71,1103619800,23151.71
2014-06-03,23327.51,23327.51,23134.34,23291.04,1871426600,23291.04
2014-05-30,23074.79,23178.60,22993.71,23081.65,2139412000,23081.65
2014-05-29,23103.31,23209.26,22968.10,23010.14,1656947000,23010.14
2014-05-28,23023.82,23204.94,22949.86,23080.03,1877920600,23080.03
2014-05-27,22953.12,22984.46,22886.46,22944.30,886165500,22944.30
2014-05-26,23055.47,23086.98,22898.78,22963.18,921743100,22963.18
2014-05-23,23010.45,23010.45,22922.35,22965.86,1334666800,22965.86
2014-05-22,22942.27,23053.28,22884.52,22953.76,1846560400,22953.76
2014-05-21,22715.58,22883.50,22649.66,22836.52,1501967100,22836.52
2014-05-20,22758.02,22914.17,22758.02,22834.68,1381246500,22834.68
2014-05-19,22751.24,22751.24,22555.97,22704.50,991514600,22704.50
2014-05-16,22645.52,22718.07,22555.59,22712.91,1166378000,22712.91
2014-05-15,22726.59,22792.63,22610.01,22730.86,1170327000,22730.86
2014-05-14,22484.49,22664.37,22365.23,22582.77,1927324800,22582.77
2014-05-13,22436.24,22436.24,22286.46,22352.38,1139100500,22352.38
2014-05-12,21921.59,22399.64,21796.90,22261.61,1662352600,22261.61
2014-05-09,21819.94,21925.39,21705.12,21862.99,1114417600,21862.99
2014-05-08,21804.65,21929.43,21738.15,21837.12,1397794600,21837.12
2014-05-07,21904.52,21923.15,21680.33,21746.26,1551840300,21746.26
2014-05-05,22195.80,22284.56,21873.87,21976.33,1052997700,21976.33
2014-05-02,22194.66,22312.71,22150.35,22260.67,1150668300,22260.67
2014-04-30,22466.04,22466.04,22097.36,22133.97,1813869200,22133.97
2014-04-29,22172.08,22474.19,22099.20,22453.89,1647330100,22453.89
2014-04-28,22122.38,22202.27,22096.95,22132.53,1204384500,22132.53
2014-04-25,22524.56,22548.52,22213.74,22223.53,1501582200,22223.53
2014-04-24,22527.38,22575.50,22461.10,22562.80,1245512100,22562.80
2014-04-23,22855.26,22855.26,22495.59,22509.64,1466034400,22509.64
2014-04-22,22718.69,22808.30,22644.43,22730.68,1177816000,22730.68
2014-04-17,22858.79,22858.79,22657.95,22760.24,1043678800,22760.24
2014-04-16,22686.21,22866.56,22627.51,22696.01,1209932600,22696.01
2014-04-15,23054.35,23054.35,22658.27,22671.26,1507438500,22671.26
2014-04-14,22911.82,23090.94,22911.82,23038.80,1332385800,23038.80
2014-04-11,23150.80,23194.15,22946.21,23003.64,2212812800,23003.64
2014-04-10,22949.79,23224.54,22734.39,23186.96,2705303600,23186.96
2014-04-09,22725.43,22933.33,22721.19,22843.17,2255721200,22843.17
2014-04-08,22390.14,22625.21,22329.99,22596.97,2242588200,22596.97
2014-04-07,22416.47,22485.24,22326.41,22377.15,1364755200,22377.15
2014-04-04,22476.25,22595.71,22452.64,22510.08,1497612700,22510.08
2014-04-03,22666.06,22722.24,22531.24,22565.08,1385870800,22565.08
2014-04-02,22598.40,22598.40,22436.28,22523.94,1594180000,22523.94
2014-04-01,22292.32,22458.94,22250.66,22448.54,1598522700,22448.54
2014-03-31,22244.16,22244.16,22043.51,22151.06,1919012400,22151.06
2014-03-28,21930.40,22143.24,21930.40,22065.53,2147316000,22065.53
2014-03-27,21897.07,21926.83,21715.63,21834.45,2222326400,21834.45
2014-03-26,21889.76,22006.64,21865.33,21887.75,1917734000,21887.75
2014-03-25,21773.64,21858.11,21704.73,21732.32,1439740000,21732.32
2014-03-24,21657.55,21866.97,21590.07,21846.45,2460675400,21846.45
2014-03-21,21239.09,21470.31,21171.91,21436.70,2761821600,21436.70
2014-03-20,21352.49,21475.48,21137.61,21182.16,1855189600,21182.16
2014-03-19,21585.12,21614.53,21485.51,21568.69,1253992000,21568.69
2014-03-18,21549.22,21606.98,21469.21,21583.50,1478690900,21583.50
2014-03-17,21494.37,21535.70,21423.03,21473.95,1027124200,21473.95
2014-03-14,21612.07,21630.70,21462.49,21539.49,1697614000,21539.49
2014-03-13,21920.94,22041.33,21743.34,21756.08,1579460800,21756.08
2014-03-12,22019.03,22019.03,21873.20,21901.95,1890043600,21901.95
2014-03-11,22234.61,22351.99,22198.07,22269.61,1365653800,22269.61
2014-03-10,22339.42,22388.46,22206.80,22264.93,1621277400,22264.93
2014-03-07,22728.53,22820.41,22604.02,22660.49,1481457300,22660.49
2014-03-06,22588.77,22764.38,22588.76,22702.97,1524509100,22702.97
2014-03-05,22839.43,22839.43,22529.83,22579.78,1620064500,22579.78
2014-03-04,22542.17,22783.98,22534.10,22657.63,1344318400,22657.63
2014-03-03,22630.77,22749.13,22487.23,22500.67,1634145200,22500.67
2014-02-28,22942.96,22986.70,22709.52,22836.96,1897300600,22836.96
2014-02-27,22465.96,22866.23,22432.48,22828.18,1957977600,22828.18
2014-02-26,22297.62,22502.96,22258.89,22437.44,1750025200,22437.44
2014-02-25,22498.42,22518.84,22259.76,22317.20,1538384200,22317.20
2014-02-24,22576.35,22576.35,22260.13,22388.56,1709106200,22388.56
2014-02-21,22617.63,22633.29,22442.39,22568.24,1678803800,22568.24
2014-02-20,22595.91,22742.72,22297.85,22394.08,2691551800,22394.08
2014-02-19,22600.60,22708.40,22534.19,22664.52,1145877400,22664.52
2014-02-18,22535.20,22592.36,22437.38,22587.72,961510000,22587.72
