Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,9818.46,9836.68,9791.13,9815.17,63248900,9815.17
2014-06-26,9894.55,9898.38,9749.75,9804.90,94925000,9804.90
2014-06-25,9883.78,9914.12,9836.46,9867.75,82312000,9867.75
2014-06-24,9938.64,9948.59,9899.47,9938.08,61266100,9938.08
2014-06-23,9991.40,9993.02,9885.96,9920.92,68730100,9920.92
2014-06-20,9995.50,10050.98,9987.24,9987.24,209559600,9987.24
2014-06-19,10018.91,10023.55,9993.03,10004.00,86693500,10004.00
2014-06-18,9932.04,9964.02,9922.07,9930.33,72976800,9930.33
2014-06-17,9915.20,9982.89,9861.29,9920.32,72084200,9920.32
2014-06-16,9885.97,9925.85,9872.77,9883.98,64029200,9883.98
2014-06-13,9920.49,9944.57,9829.09,9912.87,79417700,9912.87
2014-06-12,9950.52,9970.38,9917.61,9938.70,68482900,9938.70
2014-06-11,10022.99,10024.84,9921.26,9949.81,96286500,9949.81
2014-06-10,9998.51,10033.74,9987.69,10028.80,64853100,10028.80
2014-06-09,9994.40,10009.60,9985.87,10008.63,43200400,10008.63
2014-06-06,9954.01,10000.92,9941.65,9987.19,92994900,9987.19
2014-06-05,9929.41,10013.69,9896.09,9947.83,129942500,9947.83
2014-06-04,9903.82,9928.96,9866.97,9926.67,66442200,9926.67
2014-06-03,9949.96,9954.78,9887.01,9919.74,71968600,9919.74
2014-06-02,9986.86,9992.33,9907.77,9950.12,57920300,9950.12
2014-05-30,9926.73,9970.77,9924.63,9943.27,103680100,9943.27
2014-05-29,9937.66,9956.24,9917.97,9938.90,65743400,9938.90
2014-05-28,9950.74,9957.87,9898.26,9939.17,72748500,9939.17
2014-05-27,9893.33,9951.90,9879.64,9940.82,79797700,9940.82
2014-05-26,9826.91,9893.81,9821.68,9892.82,53846400,9892.82
2014-05-23,9722.63,9779.59,9704.75,9768.01,65280800,9768.01
2014-05-22,9731.45,9734.14,9689.13,9720.91,63696000,9720.91
2014-05-21,9615.86,9709.91,9583.56,9697.87,86239200,9697.87
2014-05-20,9644.80,9685.56,9613.91,9639.08,67588400,9639.08
2014-05-19,9607.32,9676.52,9534.56,9659.39,97857300,9659.39
2014-05-16,9646.56,9670.90,9577.90,9629.10,113085400,9629.10
2014-05-15,9741.25,9810.29,9631.57,9656.05,133897400,9656.05
2014-05-14,9765.62,9772.09,9733.21,9754.39,76079000,9754.39
2014-05-13,9751.05,9783.72,9732.34,9754.43,96844100,9754.43
