Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,10934.76,10976.93,10929.77,10974.43,4290590000,10974.43
2014-06-26,10951.75,10954.03,10881.94,10949.45,2778840000,10949.45
2014-06-25,10902.71,10966.90,10901.33,10962.87,3106710000,10962.87
2014-06-24,10997.41,11025.92,10917.12,10921.99,3089700000,10921.99
2014-06-23,11016.97,11016.97,10991.51,11014.09,2717630000,11014.09
2014-06-20,11014.03,11023.14,11005.33,11018.11,4336240000,11018.11
2014-06-19,10991.98,11006.18,10971.05,11003.08,2952150000,11003.08
2014-06-18,10890.15,10977.97,10877.66,10975.54,3065220000,10975.54
2014-06-17,10849.61,10890.41,10829.67,10886.01,2971260000,10886.01
2014-06-16,10855.33,10878.66,10830.26,10863.22,2926130000,10863.22
2014-06-13,10836.67,10863.45,10813.43,10856.22,2598230000,10856.22
2014-06-12,10870.71,10876.99,10804.97,10825.03,3040480000,10825.03
2014-06-11,10886.32,10886.32,10854.47,10872.69,2710620000,10872.69
2014-06-10,10906.89,10914.20,10877.79,10914.20,2702360000,10914.20
2014-06-09,10895.41,10941.86,10894.83,10918.62,2812180000,10918.62
2014-06-06,10865.19,10905.12,10865.19,10904.22,2864300000,10904.22
2014-06-05,10788.53,10853.34,10756.05,10847.69,3113270000,10847.69
2014-06-04,10752.35,10779.48,10733.03,10776.78,2793920000,10776.78
2014-06-03,10752.37,10774.01,10739.36,10770.33,2867180000,10770.33
2014-06-02,10760.54,10777.43,10729.97,10772.01,2509020000,10772.01
2014-05-30,10734.54,10760.87,10726.09,10756.31,3263490000,10756.31
2014-05-29,10716.50,10752.16,10699.49,10752.11,2709050000,10752.11
2014-05-28,10715.38,10723.05,10683.78,10702.73,2976450000,10702.73
2014-05-27,10713.47,10732.13,10701.83,10720.62,2911020000,10720.62
2014-05-23,10649.11,10685.98,10646.57,10681.87,2396280000,10681.87
2014-05-22,10618.37,10663.42,10607.77,10644.52,2759800000,10644.52
2014-05-21,10570.34,10625.76,10570.34,10620.44,2777140000,10620.44
2014-05-20,10601.64,10601.64,10519.22,10541.95,3007700000,10541.95
2014-05-19,10573.83,10621.44,10565.32,10618.64,2664250000,10618.64
2014-05-16,10572.77,10603.49,10545.17,10603.18,3173650000,10603.18
2014-05-15,10636.45,10636.45,10518.95,10568.37,3552640000,10568.37
2014-05-14,10698.74,10698.74,10647.52,10656.12,2822060000,10656.12
2014-05-13,10708.68,10725.09,10698.25,10702.86,2915680000,10702.86
2014-05-12,10639.72,10706.03,10639.72,10703.50,3005740000,10703.50
2014-05-09,10599.54,10611.05,10560.78,10606.69,3025020000,10606.69
2014-05-08,10625.39,10677.01,10585.25,10610.65,3393420000,10610.65
