Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,6735.10,6767.60,6735.10,6757.80,516986900,6757.80
2014-06-26,6733.60,6753.30,6701.60,6735.10,902551300,6735.10
2014-06-25,6787.10,6787.10,6716.40,6733.60,585547600,6733.60
2014-06-24,6800.60,6824.50,6776.80,6787.10,570127000,6787.10
2014-06-23,6825.20,6829.80,6785.80,6800.60,466639400,6800.60
2014-06-20,6808.10,6840.60,6791.20,6825.20,1020446400,6825.20
2014-06-19,6778.60,6837.60,6778.60,6808.10,564148400,6808.10
2014-06-18,6766.80,6799.60,6766.80,6778.60,511450700,6778.60
2014-06-17,6754.60,6774.90,6736.10,6766.80,577374400,6766.80
2014-06-16,6777.90,6779.40,6748.00,6754.60,604240100,6754.60
2014-06-13,6843.10,6843.10,6758.20,6777.90,640614600,6777.90
2014-06-12,6838.90,6853.20,6827.00,6843.10,527380800,6843.10
2014-06-11,6873.60,6873.60,6825.20,6838.90,676538600,6838.90
2014-06-10,6875.00,6875.20,6835.80,6873.60,535388800,6873.60
2014-06-09,6858.20,6879.00,6857.70,6875.00,388132800,6875.00
2014-06-06,6813.50,6862.90,6813.50,6858.20,774866500,6858.20
2014-06-05,6818.60,6847.00,6795.30,6813.50,627405700,6813.50
2014-06-04,6836.30,6840.60,6800.10,6818.60,575435900,6818.60
2014-06-03,6864.10,6865.40,6818.00,6836.30,505128700,6836.30
2014-06-02,6844.50,6874.40,6844.50,6864.10,573724300,6864.10
2014-05-30,6871.30,6874.30,6832.00,6844.50,1174009700,6844.50
2014-05-29,6851.20,6882.10,6848.10,6871.30,403366600,6871.30
2014-05-28,6844.90,6855.80,6833.60,6851.20,577490600,6851.20
2014-05-27,6815.80,6857.10,6815.40,6844.90,585487200,6844.90
2014-05-23,6820.60,6825.50,6793.50,6815.80,485846000,6815.80
2014-05-22,6821.00,6846.60,6810.20,6820.60,564880200,6820.60
2014-05-21,6802.00,6821.00,6782.80,6821.00,733746900,6821.00
2014-05-20,6844.60,6848.40,6792.50,6802.00,680773300,6802.00
2014-05-19,6855.80,6862.20,6804.30,6844.60,745674100,6844.60
2014-05-16,6840.90,6855.90,6813.50,6855.80,985979600,6855.80
2014-05-15,6878.50,6894.90,6821.70,6840.90,896969900,6840.90
2014-05-14,6873.10,6880.10,6854.00,6878.50,529825700,6878.50
2014-05-13,6851.80,6877.40,6846.00,6873.10,631554800,6873.10
2014-05-12,6814.60,6851.80,6814.60,6851.80,565733200,6851.80
2014-05-09,6839.30,6839.40,6805.40,6814.60,617677000,6814.60
2014-05-08,6796.40,6840.40,6796.40,6839.30,818478900,6839.30
2014-05-07,6798.60,6799.30,6766.80,6796.40,768894900,6796.40
2014-05-06,6822.40,6828.60,6785.30,6798.60,732623500,6798.60
2014-05-02,6808.90,6838.20,6798.60,6822.40,746449000,6822.40
2014-05-01,6780.00,6811.60,6773.70,6808.90,649344400,6808.90
2014-04-30,6769.90,6794.90,6748.80,6780.00,773112200,6780.00
2014-04-29,6700.20,6769.90,6700.10,6769.90,674490500,6769.90
